age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
30,unemployed,married,primary,false,1787,false,false,cellular,19,oct,79,1,-1,0,unknown,false
33,services,married,secondary,false,4789,true,true,cellular,11,may,220,1,339,4,failure,false
35,management,single,tertiary,false,1350,true,false,cellular,16,apr,185,1,330,1,failure,false
30,management,married,tertiary,false,1476,true,true,unknown,3,jun,199,4,-1,0,unknown,false
59,blue-collar,married,secondary,false,0,true,false,unknown,5,may,226,1,-1,0,unknown,false
35,management,single,tertiary,false,747,false,false,cellular,23,feb,141,2,176,3,failure,false
36,self-employed,married,tertiary,false,307,true,false,cellular,14,may,341,1,330,2,other,false
39,technician,married,secondary,false,147,true,false,cellular,6,may,151,2,-1,0,unknown,false
41,entrepreneur,married,tertiary,false,221,true,false,unknown,14,may,57,2,-1,0,unknown,false
43,services,married,primary,false,-88,true,true,cellular,17,apr,313,1,147,2,failure,false
39,services,married,secondary,false,9374,true,false,unknown,20,may,273,1,-1,0,unknown,false
43,admin.,married,secondary,false,264,true,false,cellular,17,apr,113,2,-1,0,unknown,false
36,technician,married,tertiary,false,1109,false,false,cellular,13,aug,328,2,-1,0,unknown,false
20,student,single,secondary,false,502,false,false,cellular,30,apr,261,1,-1,0,unknown,true
31,blue-collar,married,secondary,false,360,true,true,cellular,29,jan,89,1,241,1,failure,false
40,management,married,tertiary,false,194,false,true,cellular,29,aug,189,2,-1,0,unknown,false
56,technician,married,secondary,false,4073,false,false,cellular,27,aug,239,5,-1,0,unknown,false
37,admin.,single,tertiary,false,2317,true,false,cellular,20,apr,114,1,152,2,failure,false
25,blue-collar,single,primary,false,-221,true,false,unknown,23,may,250,1,-1,0,unknown,false
31,services,married,secondary,false,132,false,false,cellular,7,jul,148,1,152,1,other,false
38,management,divorced,unknown,false,0,true,false,cellular,18,nov,96,2,-1,0,unknown,false
42,management,divorced,tertiary,false,16,false,false,cellular,19,nov,140,3,-1,0,unknown,false
44,services,single,secondary,false,106,false,false,unknown,12,jun,109,2,-1,0,unknown,false
44,entrepreneur,married,secondary,false,93,false,false,cellular,7,jul,125,2,-1,0,unknown,false
26,housemaid,married,tertiary,false,543,false,false,cellular,30,jan,169,3,-1,0,unknown,false
41,management,married,tertiary,false,5883,false,false,cellular,20,nov,182,2,-1,0,unknown,false
55,blue-collar,married,primary,false,627,true,false,unknown,5,may,247,1,-1,0,unknown,false
67,retired,married,unknown,false,696,false,false,telephone,17,aug,119,1,105,2,failure,false
56,self-employed,married,secondary,false,784,false,true,cellular,30,jul,149,2,-1,0,unknown,false
53,admin.,married,secondary,false,105,false,true,cellular,21,aug,74,2,-1,0,unknown,false
68,retired,divorced,secondary,false,4189,false,false,telephone,14,jul,897,2,-1,0,unknown,true
31,technician,married,secondary,false,171,false,false,cellular,27,aug,81,3,-1,0,unknown,false
59,management,married,secondary,false,42,false,false,cellular,21,nov,40,1,-1,0,unknown,false
32,management,single,tertiary,false,2536,true,false,cellular,26,aug,958,6,-1,0,unknown,true
49,technician,married,tertiary,false,1235,false,false,cellular,13,aug,354,3,-1,0,unknown,true
42,admin.,divorced,secondary,false,1811,true,false,unknown,14,may,150,1,-1,0,unknown,false
78,retired,divorced,primary,false,229,false,false,telephone,22,oct,97,1,-1,0,unknown,true
32,blue-collar,married,secondary,false,2089,true,false,cellular,14,nov,132,1,-1,0,unknown,true
33,management,married,secondary,false,3935,true,false,cellular,6,may,765,1,342,2,failure,true
23,services,single,tertiary,false,363,true,false,unknown,30,may,16,18,-1,0,unknown,false
38,management,single,tertiary,false,11971,true,false,unknown,17,nov,609,2,101,3,failure,false
36,management,single,tertiary,false,553,false,false,cellular,11,aug,106,2,-1,0,unknown,false
52,blue-collar,married,secondary,false,1117,true,false,cellular,13,may,365,1,-1,0,unknown,false
32,technician,married,tertiary,false,396,true,false,cellular,13,may,205,3,-1,0,unknown,false
32,technician,single,tertiary,false,2204,true,false,cellular,21,nov,11,4,-1,0,unknown,false
34,management,single,tertiary,false,872,true,false,unknown,7,may,105,2,-1,0,unknown,false
55,blue-collar,married,primary,false,145,false,false,telephone,2,feb,59,3,5,2,other,false
26,blue-collar,married,primary,false,0,true,false,unknown,21,may,425,1,-1,0,unknown,false
32,entrepreneur,single,primary,true,-849,true,true,cellular,4,feb,204,1,-1,0,unknown,false
61,admin.,married,unknown,false,4629,true,false,cellular,27,jan,181,1,92,1,success,true
45,blue-collar,divorced,primary,false,844,false,false,unknown,5,jun,1018,3,-1,0,unknown,true
37,technician,single,secondary,false,228,true,false,cellular,20,aug,1740,2,-1,0,unknown,false
38,technician,single,secondary,false,50,false,false,cellular,29,aug,98,2,-1,0,unknown,false
34,technician,married,tertiary,false,1539,true,false,cellular,15,jun,441,1,56,1,other,true
53,blue-collar,married,secondary,false,2231,true,false,cellular,14,jul,272,3,-1,0,unknown,false
48,admin.,married,secondary,false,3064,true,false,telephone,15,jul,159,2,-1,0,unknown,false
57,management,married,secondary,false,82,false,true,telephone,4,feb,140,1,-1,0,unknown,false
33,self-employed,single,tertiary,false,2155,false,false,cellular,17,nov,295,1,-1,0,unknown,false
36,retired,single,secondary,false,101,true,true,unknown,26,may,314,1,-1,0,unknown,false
54,technician,divorced,secondary,false,784,true,true,unknown,15,may,579,1,-1,0,unknown,false
41,blue-collar,married,primary,false,-516,false,true,telephone,8,jul,554,3,-1,0,unknown,false
63,retired,married,secondary,false,415,true,false,cellular,7,oct,323,1,-1,0,unknown,false
48,management,married,tertiary,false,5887,false,false,cellular,13,aug,227,2,-1,0,unknown,false
48,services,married,secondary,false,1355,false,false,cellular,4,jul,134,2,-1,0,unknown,false
56,admin.,married,secondary,false,16873,false,false,cellular,7,oct,223,1,-1,0,unknown,false
51,blue-collar,divorced,secondary,false,203,true,false,cellular,8,may,134,1,170,5,failure,false
31,services,married,secondary,false,338,true,false,cellular,28,jan,155,1,-1,0,unknown,false
29,technician,married,secondary,false,444,true,false,cellular,21,jul,130,4,-1,0,unknown,false
41,management,married,secondary,false,0,false,true,cellular,7,jul,630,3,-1,0,unknown,false
32,technician,single,tertiary,false,360,false,false,cellular,19,nov,164,2,-1,0,unknown,false
37,management,married,tertiary,false,0,false,false,cellular,16,jul,268,2,182,3,success,true
42,entrepreneur,divorced,tertiary,true,2,true,false,unknown,5,may,380,1,-1,0,unknown,false
31,management,single,tertiary,false,6248,true,false,unknown,9,may,154,2,-1,0,unknown,false
41,services,married,tertiary,false,412,true,false,unknown,3,jun,154,5,-1,0,unknown,false
56,retired,married,secondary,false,344,true,false,unknown,15,may,221,1,-1,0,unknown,false
54,management,divorced,tertiary,false,3222,false,false,cellular,14,aug,67,2,-1,0,unknown,false
41,blue-collar,divorced,secondary,false,174,true,false,cellular,14,may,367,2,297,1,other,false
40,technician,single,secondary,false,591,false,true,cellular,14,aug,87,6,-1,0,unknown,false
50,blue-collar,divorced,primary,false,388,false,false,cellular,5,feb,701,1,-1,0,unknown,false
40,unemployed,married,secondary,false,219,true,false,cellular,17,nov,204,2,196,1,failure,false
27,admin.,divorced,secondary,false,451,true,false,cellular,16,jul,652,1,-1,0,unknown,true
60,retired,married,primary,false,5,false,false,cellular,26,aug,63,2,-1,0,unknown,false
28,admin.,single,secondary,false,177,true,true,cellular,6,may,150,1,-1,0,unknown,false
52,services,married,secondary,false,657,false,false,telephone,7,jul,398,2,460,2,failure,true
37,management,married,tertiary,false,1315,false,false,cellular,30,jun,224,1,-1,0,unknown,true
51,blue-collar,married,primary,false,1466,true,false,unknown,7,may,406,2,-1,0,unknown,false
41,technician,single,secondary,false,879,false,true,cellular,7,jul,60,4,-1,0,unknown,false
35,blue-collar,single,primary,false,293,true,false,unknown,30,may,521,2,-1,0,unknown,false
38,admin.,married,secondary,false,424,true,false,cellular,17,apr,279,1,-1,0,unknown,false
34,blue-collar,married,secondary,false,1831,true,false,unknown,20,may,203,2,-1,0,unknown,false
39,blue-collar,married,primary,false,111,false,false,cellular,18,nov,201,2,-1,0,unknown,false
34,blue-collar,married,primary,false,455,true,false,unknown,20,jun,372,3,-1,0,unknown,false
27,services,single,secondary,false,-195,true,false,cellular,18,may,391,1,-1,0,unknown,true
32,management,single,tertiary,false,3616,false,false,cellular,14,aug,165,2,-1,0,unknown,false
57,blue-collar,married,secondary,false,14093,false,false,cellular,11,aug,231,5,-1,0,unknown,false
41,unknown,single,tertiary,false,1567,false,false,cellular,1,jul,291,2,-1,0,unknown,false
41,admin.,married,tertiary,false,5426,true,false,unknown,14,may,149,2,-1,0,unknown,false
30,admin.,single,tertiary,false,261,false,false,cellular,19,oct,233,1,137,20,failure,false
36,blue-collar,divorced,secondary,false,2843,false,false,cellular,12,feb,473,1,182,1,success,false
